data,overall,north_east,north,west,capital,south_east,south,east,badakhshan,balkh.x,badghis,baghlan,bamyan.x,farah,faryab,ghor,ghazni.x,herat,helmand,jawzjan,kabul.x,kandahar.x,kunduz.x,kunar,khost,laghman,logar,nangarhar,nuristan,paktya,paktika,samangan,sar_e_pul.x,takhar,uruzgan,maidan_wardak,faiz_abad_badakhshan,baharak_badakhshan,yaftal_e_sufla,yawan,argo,kohestan_badakhshan,keshem,jorm,nahr_e_shahi,mazar_e_sharif,dehdadi,sholgareh,zari,balkh.y,chemtal,qala_e_naw,muqur_badghis,jawand,ab_kamari,pul_e_khumri,doshi,burka,baghlan_e_jadid,nahrin,bamyan.y,bala_buluk,qala_e_kah,maymana,feroz_koh,dawlatyar,shahrak,deh_yak,andar,ghazni.y,muqur_ghazni,giro,qarabagh,waghaz,hirat,injil,guzara,lashkargah,nahr_e_saraj,sheberghan,aqcha,kabul.y,bagrami,deh_sabz,paghman,kandahar.y,daman,maywand,arghandab,zheray,dand,panjwayi,spin_boldak,kunduz.y,chawkay,asad_abad,watapur,shigal,bar_kunar,dara_e_pech,sar_kani,marawara,narang,khas_kunar,nurgal,ghazi_abad,Dara-e-pech,nari,dangam,chapa_dara,matun,mandozayi,gurbuz,tani,terezayi,qalandar,mehtarlam,qarghayi,pul_e_alam,surkh_rod,rodat,jalalabad,behsud,bati_kot,chaparhar,khogyani,achin,nazyan,dur_baba,deh_bala,kama,shinwar,pachir_wa_agam,wama,barg_e_matal,waygal,parun,kamdesh,mandol,nurgaram,gardez,shawak,sayed_karam,samkani,ahmadaba,dand_wa_patan,ziruk,sharan,mata_khan,urgun,barmal,surobi_paktika,zarghun_shahr,yosuf_khel,aybak,hazrat_e_sultan,dara_e_suf_e_bala,dara_e_suf_e_payin,sar_e_pul.y,taloqan,yangi_qala,bangi,baharak,tirinkot,maydan_shahr,nerkh,dawlatabad_balkh,karukh,muhmand_dara,duab,secure_tenure,insecure_tenure,service_inaccess,service_access,adequate_shelter,inadequate_shelter,less_5years,over_5years,mixed_popn,seperate_popn,recent_return,no_recent_return,suburb_location,rural_location,urban_location,small_site,large_site,ghazni,balkh,kabul
Don't know,7,0,0,NA,NA,NA,50,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,50,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,10,0,0,50,0,8,11,0,0,0,0,0,25,10,0,NA,0,NA
Prefer not to answer,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA
What secondary impacts do you foresee for people in your settlement due to the coronavirus disease lockdown?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased gender-based violence,29,13,29,2,24,20,18,69,0,61,0,33,100,50,23,0,0,0,29,32,21,16,5,70,27,66,12,67,88,0,40,0,12,6,0,75,0,0,0,0,NA,0,0,0,61,55,50,100,0,100,100,0,0,0,0,35,17,14,29,100,100,50,NA,23,0,0,0,0,0,0,0,0,0,NA,0,0,0,12,62,33,0,24,8,50,0,18,12,0,22,15,0,12,67,5,67,82,100,100,67,71,75,75,50,100,100,25,100,0,0,33,32,29,20,0,0,0,72,60,12,69,67,50,75,0,62,0,75,100,75,100,100,100,50,67,0,100,100,100,100,100,0,0,0,0,0,0,0,67,0,50,0,0,0,100,0,0,0,0,12,3,100,0,0,0,67,100,100,0,100,100,30,27,32,21,30,19,21,31,28,33,48,42,31,42,22,27,45,NA,NA,NA
Increased poverty/no income,97,99,97,98,100,99,97,94,97,98,91,100,100,100,100,100,100,100,100,100,100,96,99,81,100,100,100,100,100,100,93,90,99,99,100,100,100,94,100,100,NA,100,100,100,96,100,100,100,100,100,100,100,67,100,100,100,100,100,100,100,100,100,NA,100,100,100,100,100,100,100,100,100,100,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,67,100,85,100,100,100,99,67,73,100,83,33,100,75,75,100,100,100,75,50,100,100,67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,93,85,100,100,99,100,100,86,100,100,100,100,100,100,100,100,97,98,98,96,97,97,98,97,97,98,99,96,97,96,98,97,99,NA,NA,NA
Increased health issues,25,3,23,7,33,27,40,46,5,1,18,2,0,0,47,0,7,5,67,56,23,36,4,45,15,47,100,52,18,44,60,2,36,0,0,100,0,11,0,0,NA,0,0,0,2,0,0,0,0,0,0,33,0,0,0,2,0,0,7,0,0,0,NA,47,0,0,0,0,0,0,0,100,0,NA,0,0,25,50,100,58,0,24,23,0,0,52,19,0,78,15,0,0,67,4,33,45,25,0,100,29,50,0,50,67,100,50,50,100,100,67,8,14,60,0,0,0,55,40,100,75,33,50,56,100,50,0,0,100,50,100,100,0,0,33,0,0,0,0,100,0,44,0,100,33,100,0,100,50,100,50,50,100,100,0,3,0,0,0,36,0,0,0,0,0,100,100,0,0,100,100,28,19,26,22,26,20,24,25,24,27,39,32,15,32,26,23,37,NA,NA,NA
Community violence,27,37,29,16,20,9,31,21,13,62,18,39,0,50,16,27,0,5,46,24,21,29,55,12,5,49,25,10,6,38,0,8,10,29,0,0,13,17,0,0,NA,0,0,0,63,73,50,100,0,33,100,17,0,0,100,41,33,14,36,100,0,50,NA,16,22,0,100,0,0,0,0,0,0,NA,0,9,0,19,100,24,0,22,15,50,0,38,6,0,56,38,0,25,0,55,0,18,25,0,0,14,25,0,0,33,100,0,0,0,0,0,4,0,20,0,0,0,59,40,25,19,17,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,33,0,100,33,100,0,0,0,0,0,0,0,0,0,13,0,0,0,10,28,100,14,0,0,0,0,100,0,0,0,23,33,29,20,27,22,26,27,28,24,36,27,39,22,24,26,32,NA,NA,NA
Increased insecurity,17,20,20,18,33,10,20,2,23,40,18,13,0,50,35,36,0,5,42,0,35,15,29,2,7,2,38,3,6,38,0,10,3,14,25,0,20,28,50,0,NA,0,0,0,39,45,36,33,0,67,100,17,33,0,0,15,33,0,7,0,0,50,NA,35,33,0,100,0,0,0,0,0,0,NA,0,9,0,12,100,0,0,41,8,50,0,21,0,0,44,15,0,0,0,29,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,8,0,20,0,0,0,3,0,38,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,33,0,100,33,100,0,0,0,0,0,0,0,0,0,17,0,0,0,3,13,100,0,0,25,0,0,0,0,0,0,15,20,18,12,16,21,19,16,16,19,20,12,26,12,16,17,17,NA,NA,NA
Lack of access for NGOs to provide services,28,32,33,2,35,9,24,28,13,44,0,42,0,0,65,0,0,5,25,56,25,25,15,2,7,22,100,45,76,25,7,8,4,49,0,100,0,28,0,0,NA,0,0,0,46,36,43,67,0,33,0,0,0,0,0,41,50,14,50,100,0,0,NA,65,0,0,0,0,0,0,0,0,0,NA,0,9,0,0,75,58,0,20,46,0,100,32,12,0,78,15,0,0,0,15,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4,0,40,0,0,0,24,20,100,44,67,25,44,100,38,0,75,0,75,0,0,100,50,67,0,100,100,80,100,100,22,0,100,0,100,0,0,0,0,0,0,0,0,100,10,5,0,0,4,52,100,14,0,0,100,100,100,0,50,0,28,27,31,19,28,20,24,28,27,31,44,32,29,25,29,26,37,NA,NA,NA
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
None,1,1,2,2,0,1,3,0,3,1,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,10,0,1,0,0,0,6,0,0,NA,0,0,0,2,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,7,15,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,1,1,2,1,2,1,1,1,1,0,0,2,2,1,2,0,NA,NA,NA
How would MOST people rate the safety and security from crime and conflict in your settlement in the past 3 months?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very good (Completely stable situation and no criminality or conflict),44.03,13.24,46.18,82.22,22.22,47.73,40.67,82.24,4.88,3.41,90.91,3.61,0,33.33,51.16,63.64,26.67,95,37.5,64.71,20.78,40.16,23.08,89.06,66.67,61.02,25,94.52,77.78,6.25,60,82.14,59.7,18.57,75,50,0,10.53,0,0,0,0,0,0,5.56,0,0,0,0,0,0,83.33,100,100,100,1.85,0,28.57,0,0,0,50,0,51.16,66.67,100,0,0,0,37.5,0,100,0,0,100,90.91,100,50,12.5,66.67,0,19.67,30.77,0,0,39.29,37.5,30,27.27,7.69,100,77.78,100,23.08,100,90.91,100,100,100,85.71,100,100,100,66.67,50,75,100,100,0,66.67,60,87.5,40,100,100,100,55.17,66.67,25,75,100,100,100,100,100,100,100,100,100,100,100,100,100,66.67,0,100,66.67,100,100,100,11.11,0,0,0,0,0,100,83.33,100,50,0,0,100,0,78.12,95.24,50,0,59.7,20,0,14.29,0,75,66.67,0,0,100,100,100,46.6,39.58,44.17,43.6,43.99,44.32,41.26,44.51,41.08,51.92,40,50.74,34.01,58.57,40.24,43.52,47.33,NA,NA,NA
Good (Stable situation and people are feeling safe. Only criminality but no conflict),25.02,36.03,36.46,6.67,32.22,18.18,19.33,3.27,39.02,85.23,0,56.63,100,0,25.58,27.27,20,0,12.5,23.53,36.36,21.31,1.28,1.56,11.9,8.47,0,1.37,0,50,0,3.57,13.43,48.57,0,0,46.67,42.11,0,100,0,0,0,0,88.89,90.91,78.57,100,100,33.33,100,0,0,0,0,61.11,50,42.86,50,50,100,0,0,25.58,33.33,0,0,0,0,25,100,0,0,0,0,0,0,18.75,0,21.21,100,34.43,38.46,50,100,30.36,0,30,18.18,30.77,0,0,0,1.28,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,12,12.5,20,0,0,0,13.79,3.33,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,100,100,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,13.43,45,100,71.43,0,0,0,0,0,0,0,0,25.3,24.22,25.52,23.53,24.88,27.27,31.47,24.05,23.59,28.85,36.21,23.6,33.6,17.76,25.39,24.32,30,NA,NA,NA
Okay (Situation is good but can change at any time - unstable),15.17,23.9,10.76,4.44,17.78,21.59,12,10.75,21.95,7.95,9.09,18.07,0,0,13.95,9.09,26.67,0,16.67,11.76,12.99,11.48,32.05,4.69,14.29,25.42,62.5,4.11,11.11,18.75,40,0,20.9,22.86,0,25,13.33,26.32,0,0,100,0,0,100,1.85,9.09,14.29,0,0,66.67,0,16.67,0,0,0,16.67,50,14.29,7.14,50,0,0,0,13.95,0,0,100,0,100,0,0,0,100,100,0,0,0,18.75,12.5,12.12,0,13.11,7.69,50,0,14.29,0,10,27.27,15.38,0,0,0,32.05,0,9.09,0,0,0,14.29,0,0,0,0,50,0,0,0,0,0,16,0,40,0,0,0,31.03,20,62.5,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,33.33,0,0,0,11.11,0,0,33.33,100,0,0,16.67,0,50,100,100,0,100,0,0,0,0,20.9,23.33,0,14.29,100,0,0,100,100,0,0,0,12.38,20.83,14.34,17.65,15.33,13.64,11.89,15.67,17.25,9.62,14.48,15.63,17.81,14.33,14.51,15.98,10,NA,NA,NA
Poorer water quality (colour/taste/smell of water),10.64,19.85,2.08,0,23.33,6.82,23.33,0,17.07,2.27,0,16.87,0,0,0,0,6.67,0,20.83,0,24.68,24.59,35.9,0,2.38,0,12.5,0,0,25,0,1.79,4.48,7.14,0,25,20,10.53,50,0,0,0,100,0,1.85,0,7.14,0,0,0,0,0,0,0,0,16.67,0,14.29,28.57,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,6.25,50,0,0,27.87,15.38,0,0,14.29,62.5,30,9.09,46.15,0,22.22,0,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,66.67,0,100,0,0,0,0,0,0,0,0,3.12,0,0,0,4.48,8.33,0,0,0,0,33.33,0,0,0,0,0,10.65,10.94,10.96,9.69,10.79,7.95,6.99,11.08,12.46,5.77,5.17,6.19,9.31,2.8,15.54,10.95,8.67,NA,NA,NA
"Very poor (Ongoing fights, mines/explosions. People are in danger from both parties)",5.14,6.99,4.51,6.67,4.44,5.68,4.67,3.74,17.07,1.14,0,4.82,0,66.67,9.3,0,20,5,12.5,0,5.19,2.46,7.69,4.69,4.76,5.08,0,0,11.11,0,0,12.5,1.49,2.86,25,0,20,10.53,50,0,0,100,0,0,1.85,0,0,0,0,0,0,0,0,0,0,3.7,0,0,14.29,0,0,50,100,9.3,0,0,0,100,0,25,0,0,0,0,0,9.09,0,6.25,25,0,0,4.92,7.69,0,0,1.79,0,0,18.18,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,25,0,0,100,33.33,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,4.76,50,100,1.49,3.33,0,0,0,25,0,0,0,0,0,0,5.06,4.43,5.01,5.54,5.01,6.82,8.39,4.69,5.63,3.85,4.14,3.83,5.26,6.54,4.32,5.23,4,NA,NA,NA
Has the amount or severity of security incidents changed in the last 3 months?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yes, incidents have increased",41.76,51.28,27.21,100,45,36.36,43.42,21.88,41.03,20.24,100,33.33,0,100,22.22,100,72.73,100,11.11,45.45,39.22,46.97,93.33,0,21.43,22.73,100,100,25,38.46,0,100,16.67,38.6,100,50,46.67,23.53,100,0,0,100,100,100,20,18.18,14.29,0,0,66.67,0,100,NA,NA,NA,34.62,16.67,40,38.46,0,0,100,100,22.22,100,NA,100,100,100,80,0,NA,100,0,NA,100,NA,0,14.29,40,100,41.86,20,50,0,34.48,90,42.86,14.29,54.55,NA,100,NA,93.33,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,30,0,0,NA,NA,NA,25,20,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,NA,0,NA,NA,NA,33.33,0,0,66.67,0,100,NA,0,NA,0,0,0,NA,0,100,100,100,100,16.67,43.75,50,0,0,100,100,0,100,NA,NA,NA,44.17,38.05,42.19,40.52,42.86,27.66,40.48,41.75,45.08,31.25,24.84,34.39,49.02,31.25,42.5,40.74,50,NA,NA,NA
No change in number of incidents,32.78,25.21,54.42,0,45,6.82,10.53,62.5,23.08,65.48,0,30.77,100,0,44.44,0,9.09,0,0,27.27,50.98,12.12,3.33,100,7.14,59.09,0,0,50,0,16.67,0,58.33,42.11,0,0,20,35.29,0,0,0,0,0,0,64,63.64,71.43,100,100,33.33,100,0,NA,NA,NA,25,50,20,46.15,50,100,0,0,44.44,0,NA,0,0,0,0,100,NA,0,0,NA,0,NA,0,0,30,0,48.84,60,50,100,17.24,10,0,28.57,0,NA,0,NA,3.33,NA,100,NA,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,100,100,0,100,0,NA,NA,NA,58.33,60,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,100,0,0,NA,0,0,0,0,0,58.33,39.58,50,50,100,0,0,0,0,NA,NA,NA,30.08,37.61,33.71,30.07,32.01,42.55,27.38,33.79,29.98,41.67,43.14,47.77,30.72,37.5,31.87,33.7,25,NA,NA,NA
"Yes, incidents have decreased",18.47,21.79,11.56,0,10,45.45,21.05,3.12,35.9,8.33,0,33.33,0,0,16.67,0,18.18,0,22.22,18.18,9.8,21.21,3.33,0,71.43,0,0,0,25,23.08,83.33,0,20.83,15.79,0,50,33.33,41.18,0,100,100,0,0,0,10,0,14.29,0,0,0,0,0,NA,NA,NA,36.54,33.33,40,15.38,50,0,0,0,16.67,0,NA,0,0,0,20,0,NA,0,100,NA,0,NA,100,0,20,0,9.3,20,0,0,13.79,0,57.14,14.29,45.45,NA,0,NA,3.33,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,70,0,100,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,100,NA,NA,NA,33.33,100,0,0,0,0,NA,100,NA,0,100,100,NA,100,0,0,0,0,20.83,12.5,0,50,0,0,0,100,0,NA,NA,NA,20.6,15.49,14.96,28.76,18.26,21.28,19.05,18.45,18.6,18.06,19.61,12.1,16.34,21.09,18.44,18.52,18.33,NA,NA,NA
Don't know,6.99,1.71,6.8,0,0,11.36,25,12.5,0,5.95,0,2.56,0,0,16.67,0,0,0,66.67,9.09,0,19.7,0,0,0,18.18,0,0,0,38.46,0,0,4.17,3.51,0,0,0,0,0,0,0,0,0,0,6,18.18,0,0,0,0,0,0,NA,NA,NA,3.85,0,0,0,0,0,0,0,16.67,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,0,85.71,10,0,0,0,0,0,34.48,0,0,42.86,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,16.67,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,33.33,0,100,33.33,100,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,NA,NA,NA,5.15,8.85,9.15,0.65,6.87,8.51,13.1,6.02,6.35,9.03,12.42,5.73,3.92,10.16,7.19,7.04,6.67,NA,NA,NA
Has the amount or severity of security incidents against women and girls specifically changed in the last 3 months?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No change in number of incidents,44.36,31.47,66.67,12.5,65,7.89,31.25,71.88,30.77,75,100,34.62,100,0,61.11,0,0,0,60,80,72.55,28.57,15,60,0,90.91,0,0,0,14.29,33.33,0,65.22,45.45,0,50,26.67,41.18,50,0,0,0,0,0,76.6,80,71.43,100,100,33.33,100,100,NA,NA,NA,30.77,50,20,46.15,50,100,0,0,61.11,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,0,100,77.78,100,74.42,60,50,100,16.67,70,28.57,0,10,NA,0,NA,15,NA,100,NA,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,0,0,0,0,0,NA,NA,NA,83.33,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,0,NA,50,NA,0,NA,100,NA,100,0,0,NA,0,0,0,0,0,65.22,45.65,50,50,0,0,100,0,0,NA,NA,NA,40.23,50.96,46.19,39.47,43.11,60.47,43.28,44.49,41.44,54.33,52.99,55.56,33.57,50.42,47.14,44.58,43.33,NA,NA,NA
"Yes, incidents have increased",31.31,43.1,21.28,87.5,13.33,31.58,35.42,3.12,25.64,17.5,0,32.05,0,100,16.67,100,63.64,100,0,0,15.69,38.1,85,0,14.29,4.55,0,0,0,42.86,0,100,13.04,25.45,100,0,20,17.65,50,0,0,100,100,100,14.89,20,14.29,0,0,66.67,0,0,NA,NA,NA,32.69,16.67,40,38.46,0,0,100,100,16.67,100,NA,100,100,100,60,0,NA,100,0,NA,100,NA,0,0,0,0,13.95,20,50,0,50,30,14.29,0,40,NA,100,NA,85,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,20,0,0,NA,NA,NA,8.33,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,33.33,0,NA,50,NA,100,NA,0,NA,0,0,0,NA,0,100,100,100,100,13.04,28.26,50,0,0,100,0,0,100,NA,NA,NA,32.47,29.33,31.94,29.61,32.43,16.28,29.85,31.43,34.26,21.26,20.9,22.88,46.15,21.01,28.28,30.52,36.67,NA,NA,NA
"Yes, incidents have decreased",19.68,19.83,10.64,0,18.33,57.89,29.17,6.25,41.03,6.25,0,29.49,0,0,16.67,0,36.36,0,40,20,7.84,28.57,0,0,78.57,0,100,0,50,42.86,66.67,0,21.74,12.73,0,50,53.33,35.29,0,100,100,0,0,0,8.51,0,7.14,0,0,0,0,0,NA,NA,NA,30.77,33.33,40,15.38,50,0,0,0,16.67,0,NA,0,0,0,40,100,NA,0,100,NA,0,NA,100,0,22.22,0,6.98,20,0,0,16.67,0,57.14,100,50,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,80,0,100,NA,NA,NA,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,NA,100,NA,NA,NA,66.67,100,NA,0,NA,0,NA,0,NA,0,100,100,NA,100,0,0,0,0,21.74,8.7,0,50,0,0,0,100,0,NA,NA,NA,21.26,17.31,17.69,25,19.42,23.26,22.39,19.39,19.21,21.26,19.4,14.38,17.48,21.85,19.87,20.08,16.67,NA,NA,NA
Don't know,4.65,5.6,1.42,0,3.33,2.63,4.17,18.75,2.56,1.25,0,3.85,0,0,5.56,0,0,0,0,0,3.92,4.76,0,40,7.14,4.55,0,100,50,0,0,0,0,16.36,0,0,0,5.88,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,NA,NA,NA,5.77,0,0,0,0,0,0,0,5.56,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,4.65,0,0,0,16.67,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,100,100,0,100,0,NA,NA,NA,8.33,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,NA,0,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,17.39,0,0,100,0,0,0,0,NA,NA,NA,6.03,2.4,4.18,5.92,5.05,0,4.48,4.69,5.09,3.15,6.72,7.19,2.8,6.72,4.71,4.82,3.33,NA,NA,NA
Are men and boys able to move freely in and out of the settlement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,95.38,92.28,95.83,93.33,91.11,95.45,98.67,98.6,87.8,92.05,100,89.16,100,33.33,100,90.91,86.67,100,100,97.06,89.61,99.18,94.87,100,95.24,100,100,97.26,94.44,100,100,98.21,95.52,95.71,75,100,86.67,89.47,100,100,100,0,100,100,92.59,90.91,92.86,100,100,66.67,100,100,100,100,100,92.59,83.33,85.71,85.71,50,100,50,0,100,88.89,100,100,0,100,87.5,100,100,100,100,100,100,100,100,100,96.97,100,88.52,92.31,100,100,98.21,100,100,100,100,100,100,100,94.87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,87.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,95.52,95,100,100,100,75,100,100,100,100,100,100,95.61,94.79,95.69,94.46,95.55,93.18,93.71,95.61,94.73,97.12,97.24,94.69,93.93,95.95,95.68,95.48,94.67,NA,NA,NA
