district,nb_sites,idp_hhs,idp_indvl,prolonged_hhs,prolonged_indvl,protracted_hhs,protracted_indvl,refugee_hhs,refugee_indvl,returnee_hhs,returnee_indvl,economic_hhs,economic_indvl,nomad_hhs,nomad_indvl,host_hhs,host_indvl,iset_population_discrete,iset_population_mixed,location_urban,location_suburban,location_rural,idp_mixed,idp_discrete,prolong_mixed,prolong_discrete,protract_mixed,protract_discrete,refugee_mixed,refugee_discrete,returnee_mixed,returnee_discrete,economic_mixed,economic_discrete,nomad_mixed,nomad_discrete,migrant_population.idp,migrant_population.prolong,migrant_population.protract,migrant_population.refugee,migrant_population.returnee,relocate_plan_yes,relocate_plan_no,relocate_plan_dk,relocate_pushpull_1_label,relocate_pushpull_1_pct,relocate_pushpull_2_label,relocate_pushpull_2_pct,relocate_pushpull_3_label,relocate_pushpull_3_pct,five_years_yes,five_years_no,five_years_dk,idp_3mo_hhs,idp_prov_origin_1_label,idp_prov_origin_1_pct,idp_prov_origin_2_label,idp_prov_origin_2_pct,idp_prov_origin_3_label,idp_prov_origin_3_pct,returnee_3mo_hhs,returnee_origin_1_label,returnee_origin_1_pct,returnee_origin_2_label,returnee_origin_2_pct,returnee_origin_3_label,returnee_origin_3_pct,shelter_type_1_label,shelter_type_1_pct,shelter_type_2_label,shelter_type_2_pct,shelter_type_3_label,shelter_type_3_pct,tenure_insecure,hh_rooms,accom_1_label,accom_1_pct,accom_2_label,accom_2_pct,accom_3_label,accom_3_pct,host_relation_positive,host_relation_neutral,host_relation_negative,host_relation_prefer_not,eviction_threat_yes,eviction_threat_no,eviction_threat_dk,eviction_threat_local_auth,eviction_threat_gvt,eviction_threat_local_host_comm,eviction_threat_local_ot,comm_represent_yes,comm_represent_no,comm_represent_dk,relocation_yes,relocation_no,site_land_yes,site_land_no,site_land_dk,site_land_owner_gvt,site_land_owner_prv,site_land_owner_un,site_land_owner_common,site_land_owner_ot,water_distance_fs,water_source_fs,water_barrier_1_label,water_barrier_1_pct,water_barrier_2_label,water_barrier_2_pct,water_barrier_3_label,water_barrier_3_pct,health_distance_fs,health_satisfy_constraint_yes,health_satisfy_constraint_no,health_satisfy_constraint_dk,health_unsatisfy_constraint.crowded,health_unsatisfy_constraint.hours,health_unsatisfy_constraint.expensive,health_unsatisfy_constraint.drug_unavail,health_unsatisfy_constraint.staff_behave,health_unsatisfy_constraint.other,health_unsatisfy_constraint.dont_know,mhpss_aware_yes,mhpss_aware_no,mhpss_aware_dk,health_barrier_1_label,health_barrier_1_pct,health_barrier_2_label,health_barrier_2_pct,health_barrier_3_label,health_barrier_3_pct,safe_likert_verygood,safe_likert_good,safe_likert_neutral,safe_likert_poor,safe_likert_verypoor,move_free_m_yes,move_free_m_no,move_free_m_dk,move_why_m_1_label,move_why_m_1_pct,move_why_m_2_label,move_why_m_2_pct,move_why_m_3_label,move_why_m_3_pct,move_free_f_yes,move_free_f_no,move_free_f_dk,move_why_f_1_label,move_why_f_1_pct,move_why_f_2_label,move_why_f_2_pct,move_why_f_3_label,move_why_f_3_pct,livelihood_1_label,livelihood_1_pct,livelihood_2_label,livelihood_2_pct,livelihood_3_label,livelihood_3_pct,food_source_1_label,food_source_1_pct,food_source_2_label,food_source_2_pct,food_source_3_label,food_source_3_pct,vul_index_low,vul_index_moderate,vul_index_moderate_high,vul_index_high,covid_aware_yes,covid_aware_part,covid_aware_no,covid_concern_yes,covid_concern_no,covid_concern_dk,covid_info_1_label,covid_info_1_pct,covid_info_2_label,covid_info_2_pct,covid_info_3_label,covid_info_3_pct,covid_safeprac_1_label,covid_safeprac_1_pct,covid_safeprac_2_label,covid_safeprac_2_pct,covid_safeprac_3_label,covid_safeprac_3_pct,aid_govt_yes,aid_govt_no,aid_govt_dk,aid_services_1_label,aid_services_1_pct,aid_services_2_label,aid_services_2_pct,aid_services_3_label,aid_services_3_pct,vul_chronic_fs,soap_avail_yes,soap_avail_no,soap_avail_dk,using_public_facility,handwash_crowded_yes,handwash_crowded_no,handwash_crowded_dk,water_point_yes,water_point_no_further,water_point_no_none,tap_sanitize_all,tap_sanitize_some,tap_sanitize_no,tap_sanitize_dk,safety_change_increase,safety_change_decrease,safety_change_no,safety_change_dk,covid_coping_1_label,covid_coping_1_pct,covid_coping_2_label,covid_coping_2_pct,covid_coping_3_label,covid_coping_3_pct,mhpss_secondary_1_label,mhpss_secondary_1_pct,mhpss_secondary_2_label,mhpss_secondary_2_pct,mhpss_secondary_3_label,mhpss_secondary_3_pct,vul_sleeping_prop,covid_shelter_1_label,covid_shelter_1_pct,covid_shelter_2_label,covid_shelter_2_pct,covid_shelter_3_label,covid_shelter_3_pct,market_soldout_yes,market_soldout_no,market_soldout_dk,soldout_item_1_label,soldout_item_1_pct,soldout_item_2_label,soldout_item_2_pct,soldout_item_3_label,soldout_item_3_pct,work_change_fullstop,work_change_partstop,work_change_nostop,school_alternatives.other_facility,school_alternatives.home_school,school_alternatives.other,school_alternatives.no,school_alternatives.dont_know
qala_e_naw,6,0,0,0,0,1044,5995,0,0,0,0,0,0,0,0,0,0,100,0,67,0,17,0,0,0,0,NaN,100,0,0,0,0,0,0,0,0,0,0,100,0,0,33,67,0,No work opportunities available here,100,Better access to services where they are moving,100,Better opportunity for jobs,100,0,83,17,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Tents (emergency shelter),100,Makeshift Shelter,0,Transitional Shelter,0,100,1,Rent shelter,83,Staying in shelter for free WITH owner's consent,17,Own shelter WITH documentation,0,0,100,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,67,0.3333333333333333,Waterpoints are too far,80,Unpleasant colour/taste/smell of water,40,Long line/wait to access waterpoint,0,67,80,20,0,100,100,100,0,100,0,0,0,83,17,Cost of medicines,100,Cost of transport,83,Cost of care/ treatment,50,83,0,17,0,0,100,0,0,NA,NA,NA,NA,NA,NA,83,0,17,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Provided from family and friends in the area,83,Purchase in markets inside the settlement,67,Purchase in markets outside the settlement,33,0,0,100,0,100,0,0,83,0,17,"UN, NGOs or INGOs",100,Healthcare workers,100,Community or religious leaders,50,Avoid large crowds and gatherings,100,Self-isolate if experiencing symtoms,67,Wash hands frequently,50,83,17,0,Information on the coronavirus preventive measures at COMMUNITY level,60,Provision of additional WASH services,20,Food distribution,20,33.33333333333333,17,83,0,16.666666666666664,0,100,0,33,50,17,0,0,100,0,100,0,0,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased health issues,33,Community violence,17,NaN,Provision of tents to accommodate sick persons inside the site,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Relocation of unsick family members to other relatives,0,67,17,17,Food,100,Tarpaulin sheets,100,Fuel / Heating materials,50,100,0,0,0,0,0,100,0
qalandar,1,0,0,200,1400,600,4200,0,0,0,0,0,0,0,0,400,2800,0,100,0,0,100,0,0,100,NaN,100,NaN,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,5,Rent shelter,100,Own shelter WITH documentation,0,Own shelter WITHOUT documentation,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,No barriers,100,Long line/wait to access waterpoint,0,Unpleasant colour/taste/smell of water,0,100,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,NGO food distributions,0,Purchase in markets outside the settlement,0,0,100,0,0,100,0,0,100,0,0,Government,100,"Media (TV, radio)",100,Healthcare workers,100,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,NA,NA,NA,NA,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,0,Provision of tents to accommodate sick persons inside the site,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,0,0,100,0
qarabagh,1,12,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,NaN,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,Better opportunity for jobs,100,Intimidation and harassment by host community/local authorities,0,Land dispute forced them off land / shelter,0,100,0,0,4,Badakhshan,0,Badghis,0,Baghlan,0,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,100,3,Rent shelter,100,Own shelter WITH documentation,0,Own shelter WITHOUT documentation,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,No barriers,100,Long line/wait to access waterpoint,0,Unpleasant colour/taste/smell of water,0,0,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,No barriers,100,Don't know where to go,0,Cost of transport,0,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (livestock),100,Small business / sale of goods or services,0,Unskilled daily labour (without contract),0,Purchase in markets inside the settlement,100,NGO food distributions,0,Purchase in markets outside the settlement,0,0,100,0,0,100,0,0,100,0,0,"Media (TV, radio)",100,Government,0,Community or religious leaders,0,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,0,NA,NA,NA,100,0,0,0,100,0,0,100,0,0,0,Social withdrawal,100,Angry / aggressive behaviour,0,Dangerous/risky behaviours,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,0,Shelter repair support to upgrade and repair settlement shelters,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Provision of tents to accommodate sick persons inside the site,0,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,0,0,100,0
qarghayi,30,1988,15514,2150,15650,3195,23265,0,0,8753,69761,2030,15353,547,5111,5845,47425,37,63,0,0,100,66.67,56.25,78.95,73.33,80.95,69.23076923076923,0,0,90.48,81.82,69.57,50,24.14,4.35,76.67,86.67,86.67,0,93.33,47,53,0,No work opportunities available here,92,Moving to be with family / friends,25,Better opportunity for jobs,17,100,0,0,301,Laghman,62,Nangarhar,19,Kapisa,6,127,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),83,Permanent shelter (brick),13,Makeshift Shelter,3,80,2.3,Own shelter WITH documentation,37,Own shelter WITHOUT documentation,37,Staying in shelter for free WITHOUT owner's consent,13,93,0,0,7,10,87,3,33.33,33.33,66.67,0,97,3,0,20,80,77,23,0,35,65,0,0,0,27,0.03333333333333333,Waterpoints are too far,58,Long line/wait to access waterpoint,50,Waterpoint has low capacity (runs out of water often),38,70,21,68,0,73.33,33.33,66.67,100,33.33,0,0,10,83,7,Insufficient capacity of health centre,75,Cost of medicines,50,Cost of care/ treatment,44,67,3,20,0,10,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (cash crop),43,Unskilled daily labour (without contract),37,Farming (livestock),20,Purchase in markets inside the settlement,80,Purchase in markets outside the settlement,56,Provided from family and friends in the area,32,7,20,73,0,100,0,0,100,0,0,"Media (TV, radio)",96,Community or religious leaders,84,Text message alerts,48,Wash hands frequently,88,Practice physical distancing,72,Self-isolate if experiencing symtoms,72,27,73,0,Information on the coronavirus preventive measures at COMMUNITY level,62,Provision of additional WASH services,25,Food distribution,12,10,13,83,0,26.666666666666668,0,100,0,83,17,0,4,0,92,4,20,0,60,20,Social withdrawal,92,Angry / aggressive behaviour,20,Dangerous/risky behaviours,20,Increased poverty/no income,100,Increased gender-based violence,52,Community violence,40,81.48148148148148,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,50,No preference for shelter aid,23,Relocation of unsick family members to other relatives,17,55,38,3,Food,100,Hand sanitizer and other hygiene materials,21,Cooking / kitchen materials,21,93,7,0,17.86,75,0,25,0
rodat,6,510,4250,1030,7060,2125,20700,0,0,2525,23300,490,4550,4100,61200,2270,11840,50,50,0,0,100,66.67,75,100,100,100,100,0,0,75,66.67,33.33,60,20,20,83.33,100,100,0,83.33,17,83,0,NA,NA,NA,NA,NA,NA,100,0,0,8,Nangarhar,100,Badakhshan,0,Badghis,0,2,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),67,Transitional Shelter,17,Permanent shelter (brick),17,17,1.8333333333333333,Own shelter WITH documentation,67,Own shelter WITHOUT documentation,17,Rent shelter,17,50,17,0,33,17,83,0,0,100,0,0,100,0,0,17,83,83,17,0,80,20,0,0,0,17,0,Long line/wait to access waterpoint,100,Unpleasant colour/taste/smell of water,0,Waterpoint has low capacity (runs out of water often),0,50,75,25,0,100,0,100,100,0,0,0,33,67,0,Cost of care/ treatment,50,Cost of medicines,50,Long travel time,50,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Small business / sale of goods or services,33,Unskilled daily labour (without contract),33,Farming (cash crop),33,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,50,NGO food distributions,0,33,33,33,0,100,0,0,100,0,0,Community or religious leaders,100,"Media (TV, radio)",100,Government,50,Wash hands frequently,100,Practice physical distancing,50,Self-isolate if experiencing symtoms,50,50,50,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,16.666666666666664,33,67,0,33.33333333333333,50,50,0,67,33,0,0,0,100,0,NA,NA,NA,NA,Angry / aggressive behaviour,100,Social withdrawal,50,Dangerous/risky behaviours,50,Increased poverty/no income,100,Increased gender-based violence,50,Lack of access for NGOs to provide services,50,66.66666666666666,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,67,"Construction of a large temporary shelter (plastic tarpaulin, plywood, etc.) for 15-30 people to accommodate all sick individuals within the settlement",17,Provision of tents to accommodate sick persons inside the site,0,100,0,0,Food,100,Cooking / kitchen materials,100,"Construction materials (wood, nails, cement bricks, glass, etc)",50,100,0,0,33.33,66.67,0,16.67,0
samkani,3,200,450,140,1010,0,0,0,0,30,150,0,0,0,0,160,1150,0,100,67,0,33,33.33,0,100,NaN,0,0,0,0,33.33,0,0,0,0,0,33.33,100,0,0,33.33,67,33,0,Better opportunity for jobs,100,Intimidation and harassment by host community/local authorities,0,Land dispute forced them off land / shelter,0,100,0,0,20,Parwan,100,Badakhshan,0,Badghis,0,20,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),67,Transitional Shelter,33,Tents (emergency shelter),0,33,5,Own shelter WITHOUT documentation,67,Rent shelter,33,Own shelter WITH documentation,0,0,100,0,0,33,67,0,100,0,0,0,100,0,0,0,100,100,0,0,33,67,0,0,0,0,0.3333333333333333,No barriers,67,Cost is prohibitive i.e. water trucking,33,Long line/wait to access waterpoint,0,33,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,33,0,Cost of transport,67,Concern for physical safety,67,Don't know where to go,33,0,0,33,67,0,100,0,0,NA,NA,NA,NA,NA,NA,67,33,0,Government restrictions related to coronavirus,100,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Unskilled daily labour (without contract),67,Small business / sale of goods or services,33,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,33,Own production,33,0,0,100,0,100,0,0,100,0,0,Family and friends,100,"Media (TV, radio)",67,Text message alerts,67,Practice physical distancing,100,Wash hands frequently,67,Wear masks and gloves if experiencing symptoms,67,33,67,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,66.66666666666666,100,0,0,66.66666666666666,50,50,0,100,0,0,0,0,100,0,67,0,0,33,Social withdrawal,100,Angry / aggressive behaviour,0,Dangerous/risky behaviours,0,Increased poverty/no income,100,Increased health issues,33,Community violence,33,33.33333333333333,Relocation of unsick family members to other relatives,33,Shelter repair support to upgrade and repair settlement shelters,33,No preference for shelter aid,33,100,0,0,Food,100,Soap,67,Hand sanitizer and other hygiene materials,67,100,0,0,0,0,0,100,0
sar_e_pul,67,2101,12426,7914,50254,6669,45667,0,0,1719,11466,0,0,0,0,31414,194014,21,79,90,0,3,64.91,33.33,62.71,26.67,53.7,34.21052631578947,0,0,88.68,70,0,0,0,0,70.15,67.16,62.69,0,91.04,21,79,0,No work opportunities available here,45,Better security where they are moving,45,Better opportunity for jobs,27,93,6,1,1271,Helmand,2,Badakhshan,0,Badghis,0,1006,Iran,77,Pakistan,18,Other,5,Permanent shelter (mud),94,Makeshift Shelter,3,Permanent shelter (brick),3,4,3.298507462686567,Own shelter WITH documentation,81,Rent shelter,16,Own shelter WITHOUT documentation,1,87,10,3,0,0,99,1,NaN,NaN,NaN,NaN,94,6,0,4,96,96,1,3,2,97,0,2,0,22,0.13432835820895522,No barriers,37,Waterpoint has low capacity (runs out of water often),35,Waterpoints are too far,34,58,69,26,3,55.56,16.67,83.33,83.33,5.56,0,0,9,78,13,Cost of medicines,63,Cost of transport,39,Cost of care/ treatment,35,60,13,21,4,1,96,4,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,94,6,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Unskilled daily labour (without contract),37,Small business / sale of goods or services,30,Farming (cash crop),27,Purchase in markets outside the settlement,86,Purchase in markets inside the settlement,59,Own production,14,1,54,43,1,100,0,0,100,0,0,"Media (TV, radio)",98,Text message alerts,59,Family and friends,49,Wash hands frequently,94,Practice physical distancing,81,Avoid large crowds and gatherings,73,48,52,0,Food distribution,50,Information on the coronavirus preventive measures at COMMUNITY level,44,Provision of additional Health services,3,82.08955223880598,84,15,1,32.83582089552239,9,78,13,88,12,0,0,39,53,8,17,21,58,4,No unusual behavior,94,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",5,Social withdrawal,2,Increased poverty/no income,98,Increased health issues,37,Increased gender-based violence,11,20.8955223880597,No preference for shelter aid,67,Relocation of unsick family members to other relatives,12,Renting of hotel/hostel to isolate sick individuals for 14 days,10,26,62,11,Food,100,Hand sanitizer and other hygiene materials,53,Cooking / kitchen materials,47,27,72,1,35.82,74.24,0,19.7,1.52
sar_kani,4,154,1160,295,2420,530,4240,0,0,405,3310,85,730,0,0,1525,11520,25,75,25,0,75,100,100,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,24,Kunar,100,Badakhshan,0,Badghis,0,0,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,25,1.75,Own shelter WITH documentation,75,Own shelter WITHOUT documentation,25,Rent shelter,0,75,25,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,25,75,0,0,0,25,0,Long line/wait to access waterpoint,100,Waterpoints are too far,50,Waterpoint has low capacity (runs out of water often),25,0,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,75,25,Insufficient capacity of health centre,50,Cost of transport,25,Cost of care/ treatment,25,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),50,Small business / sale of goods or services,25,Formal employment (with contract),25,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,50,NGO food distributions,0,0,25,75,0,100,0,0,100,0,0,Government,100,"Media (TV, radio)",75,Text message alerts,75,Wash hands frequently,100,Practice physical distancing,75,Self-isolate if experiencing symtoms,75,0,75,25,NA,NA,NA,NA,NA,NA,0,50,50,0,75,33,67,0,75,25,0,0,0,100,0,NA,NA,NA,NA,Social withdrawal,100,Angry / aggressive behaviour,50,Dangerous/risky behaviours,50,Increased gender-based violence,75,Increased poverty/no income,75,Increased health issues,50,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,25,75,0,Food,100,Soap,100,Hand sanitizer and other hygiene materials,100,75,25,0,0,100,0,0,0
sayed_karam,1,300,500,80,220,0,0,0,0,30,110,30,65,0,0,20,70,0,100,100,0,0,100,NaN,100,NaN,0,0,0,0,100,NaN,100,NaN,0,0,100,100,0,0,100,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,30,Paktya,100,Badakhshan,0,Badghis,0,15,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,6,Rent shelter,100,Own shelter WITH documentation,0,Own shelter WITHOUT documentation,0,0,0,0,100,100,0,0,100,0,0,0,100,0,0,0,100,100,0,0,0,100,0,0,0,0,1,Long line/wait to access waterpoint,100,Cost is prohibitive i.e. water trucking,100,Unpleasant colour/taste/smell of water,0,0,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,0,0,Cost of care/ treatment,100,Cost of medicines,100,Concern for physical safety,100,0,100,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,100,Own production,100,0,0,100,0,100,0,0,100,0,0,Government,100,Community or religious leaders,100,"Media (TV, radio)",100,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,0,0,100,NA,NA,NA,NA,NA,NA,100,0,100,0,100,100,0,0,100,0,0,0,100,0,0,0,0,0,100,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased health issues,100,Community violence,100,0,Provision of tents to accommodate sick persons inside the site,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Relocation of unsick family members to other relatives,0,100,0,0,Food,100,Soap,100,Hand sanitizer and other hygiene materials,100,100,0,0,100,100,0,0,0
shahrak,1,0,0,0,0,77,630,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,NaN,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,100,2,Own shelter WITHOUT documentation,100,Own shelter WITH documentation,0,Rent shelter,0,0,100,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,Long line/wait to access waterpoint,100,Unpleasant colour/taste/smell of water,0,Waterpoint has low capacity (runs out of water often),0,0,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Cost of medicines,100,Don't know where to go,0,Cost of transport,0,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,100,NGO food distributions,0,0,0,100,0,100,0,0,100,0,0,Community or religious leaders,100,"UN, NGOs or INGOs",100,Text message alerts,100,Self-isolate if experiencing symtoms,100,Do not touch your face,100,Avoid large crowds and gatherings,100,100,0,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,100,0,0,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Community violence,100,Increased insecurity,100,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,100,0
sharan,6,75,540,77,790,0,0,0,0,33,370,5,35,0,0,1500,12000,33,67,67,0,17,20,20,50,50,0,0,0,0,33.33,0,0,16.67,0,0,33.33,66.67,0,0,33.33,17,83,0,No work opportunities available here,100,Better access to services where they are moving,100,Intimidation and harassment by host community/local authorities,0,100,0,0,7,Helmand,50,Paktika,50,Badakhshan,0,4,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),83,Makeshift Shelter,17,Tents (emergency shelter),0,50,3,Own shelter WITH documentation,50,Rent shelter,33,Staying in shelter for free WITH owner's consent,17,83,17,0,0,0,67,33,NaN,NaN,NaN,NaN,100,0,0,0,100,50,17,33,33,67,0,0,0,33,0,Long line/wait to access waterpoint,100,Waterpoints are too far,50,Waterpoint has low capacity (runs out of water often),33,83,83,17,0,100,100,100,100,0,0,0,0,83,17,Cost of transport,67,Cost of medicines,50,No barriers,33,83,0,17,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Small business / sale of goods or services,83,Farming (cash crop),17,Unskilled daily labour (without contract),0,Purchase in markets outside the settlement,100,Purchase in markets inside the settlement,67,NGO food distributions,0,0,50,50,0,100,0,0,100,0,0,"Media (TV, radio)",100,Government,83,Healthcare workers,17,Wash hands frequently,83,Wear masks and gloves if experiencing symptoms,83,Practice physical distancing,50,100,0,0,Food distribution,50,Information on the coronavirus preventive measures at HOUSEHOLD level,17,Councelling for vulnerable residents,17,100,83,17,0,33.33333333333333,0,50,50,67,33,0,0,50,50,0,0,100,0,0,No unusual behavior,83,Social withdrawal,17,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,67,Increased health issues,50,66.66666666666666,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,83,Relocation of unsick family members to other relatives,17,Provision of tents to accommodate sick persons inside the site,0,33,67,0,Food,100,Clothing,100,Soap,50,50,50,0,66.67,50,0,16.67,0
